127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.034329
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.025394
127.0.0.1, 2018-04-25 17:42:55, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.018531
127.0.0.1, 2018-04-25 17:42:56, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.002468
127.0.0.1, 2018-04-25 17:42:57, GET, /start/, HTTP/1.1, 200, 0.055472
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001169
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.018517
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.013497
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.024467
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.025578
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003260
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.056570
127.0.0.1, 2018-04-25 17:42:57, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.007870
127.0.0.1, 2018-04-25 17:42:58, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.018057
127.0.0.1, 2018-04-25 17:42:58, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.007840
127.0.0.1, 2018-04-25 17:42:58, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.010954
127.0.0.1, 2018-04-25 17:42:59, GET, /start/, HTTP/1.1, 200, 0.047574
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003082
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004669
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001443
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001414
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.020524
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.048982
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.020041
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.025192
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.018821
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002039
127.0.0.1, 2018-04-25 17:42:59, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.032101
127.0.0.1, 2018-04-25 17:43:00, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002830
127.0.0.1, 2018-04-25 17:43:18, GET, /start/default/delete/1, HTTP/1.1, 303, 0.047447
127.0.0.1, 2018-04-25 17:43:18, GET, /start/default/index, HTTP/1.1, 200, 0.042557
127.0.0.1, 2018-04-25 17:43:21, GET, /start/default/add, HTTP/1.1, 200, 0.050989
127.0.0.1, 2018-04-25 17:43:29, POST, /start/default/add, HTTP/1.1, 303, 0.076203
127.0.0.1, 2018-04-25 17:43:29, GET, /start/default/index, HTTP/1.1, 200, 0.058357
127.0.0.1, 2018-04-25 17:43:50, GET, /start/default/index, HTTP/1.1, 200, 0.061787
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002828
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.018216
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002605
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.016706
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.018043
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.020600
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.050521
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.034124
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.020541
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.013467
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.010977
127.0.0.1, 2018-04-25 17:43:50, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002177
127.0.0.1, 2018-04-25 17:49:31, GET, /start/default/index, HTTP/1.1, 200, 0.103073
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.008320
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.005336
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.003164
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.030048
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.012630
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.011541
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.012173
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.043977
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.033127
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.022935
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.027707
127.0.0.1, 2018-04-25 17:49:31, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001197
127.0.0.1, 2018-04-25 17:51:11, GET, /start/default/index, HTTP/1.1, 200, 0.034130
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002011
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.010654
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001530
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.013814
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.016559
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.019865
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.023295
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.029677
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.003293
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.017900
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.024111
127.0.0.1, 2018-04-25 17:51:11, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001663
127.0.0.1, 2018-04-25 17:51:52, GET, /start/, HTTP/1.1, 200, 0.046847
